정류소ID,모바일ID,정류소명,영문명,시/도,구/군,동,X좌표,Y좌표,경유노선수,경유노선
7111052000,01652,설티고개(달성공단방면),Seolti-gogae,대구광역시,달성군,옥포면,12828.9811,3544.6828,2,"600, 달성5"
7111052100,02360,설티고개(옥포방면),Seolti-gogae,대구광역시,달성군,옥포면,12828.9626,3544.6627,2,"600, 달성5"
7111052200,01930,봉촌낙동길입구,Bongchonnakdong-gil,대구광역시,달성군,하빈면,12823.6355,3551.684,1,성서2
7111052300,01997,봉촌낙동길입구건너,Bongchonnakdong-gil,대구광역시,달성군,하빈면,12823.6339,3551.6888,1,성서2
7111052400,01735,지산2길입구건너,Jisan 2-gil,대구광역시,달성군,옥포면,12829.895164,3545.314769,3,"600, 달성2, 달성5"
7111052500,01447,지산2길입구,Jisan 2-gil,대구광역시,달성군,옥포면,12829.8947,3545.3205,3,"600, 달성2, 달성5"
7111052600,00489,솔밭기세길입구,Solbatgisegil,대구광역시,달성군,옥포면,12829.4513,3545.7373,3,"600, 달성2, 달성5"
7111052700,00324,솔밭기세길건너,Solbatgisegil,대구광역시,달성군,옥포면,12829.449,3545.7263,3,"600, 달성2, 달성5"
7111052800,00695,화원고등학교(종점)2,Hwawon High School,대구광역시,달성군,화원읍,12829.3258,3547.7997,1,-
7111052900,00697,하나원전문장례식장,Hanawon Specialty Funeral Serves Place,대구광역시,달성군,현풍면,12826.6206,3542.8176,2,"600, 달성5"
7111053000,01557,김흥2리건너,Gimheung 2-ri,대구광역시,달성군,옥포면,12829.1546,3544.7778,2,"600, 달성5"
7111053100,01624,김흥2리앞,Gimheung 2-ri,대구광역시,달성군,옥포면,12829.1623,3544.7722,2,"600, 달성5"
7111053200,01645,용연사시설집단지구앞,Yongyeonsa Area,대구광역시,달성군,옥포면,12830.4017,3545.2227,3,"600, 달성2, 달성5"
7111053300,01654,용연사시설집단지구건너,Yongyeonsa Area,대구광역시,달성군,옥포면,12830.3884,3545.2333,3,"600, 달성2, 달성5"
7111053400,01888,푸르밀대구공장건너,Purmil CO. LTD,대구광역시,달성군,논공읍,12828.1534,3544.3921,2,"600, 달성5"
7111053500,01899,본리근린공원건너,Bolli Neighborhood Park,대구광역시,달성군,논공읍,12827.9143,3544.1769,2,"600, 달성5"
7111053600,01893,본리근린공원앞,Bolli Neghborhood Park,대구광역시,달성군,논공읍,12827.9012,3544.1765,3,"600, 달성5, 달성6"
7111053700,01992,서재들건너,Seojaedeul,대구광역시,달성군,다사읍,12829.2525,3552.4273,2,"성서1-1, 성서3"
7111053800,01994,다사체육공원앞,Dasa Sports Park,대구광역시,달성군,다사읍,12828.691,3553.3748,1,성서3
7111053900,01995,다사체육공원건너,Dasa Sports Park,대구광역시,달성군,다사읍,12828.6838,3553.3707,1,성서3
7111054100,02725,다사초등학교앞,Dasa Elementary School,대구광역시,달성군,다사읍,12827.469688,3552.064864,1,성서3
7111054200,05091,현풍중고등학교건너,Hyeonpung Middle High School,대구광역시,달성군,현풍면,12826.3648,3541.7934,1,655
7111054300,01982,달성우체국앞,Dalseong Post Office,대구광역시,달성군,현풍면,12826.3615,3541.6615,2,"655, 급행4"
7111054400,01980,현풍주공아파트앞,Hyeonpung Jugong Apts,대구광역시,달성군,현풍면,12826.5752,3541.5194,1,655
7111054500,01973,매곡초등학교건너,Maegok Elementary School,대구광역시,달성군,다사읍,12828.0504,3551.7247,4,"425, 달서1, 성서1-1, 성서3"
7111054600,01971,다사주공아파트앞,Dasa Jugong Apts,대구광역시,달성군,다사읍,12827.4102,3551.9853,1,성서3
7111054700,01968,다사주공아파트건너,Dasa Jugong Apts,대구광역시,달성군,다사읍,12827.4156,3551.9908,1,성서3
7111054800,01972,다사초등학교건너,Dasa Elementary School,대구광역시,달성군,다사읍,12827.4631,3552.0576,1,성서3
7111054900,01966,다사역(4번출구),Dasa Station,대구광역시,달성군,다사읍,12827.5413,3551.8534,1,성서3
7111055000,01958,퇴계마을앞,Toegye Maeul,대구광역시,달성군,가창면,12839.0668,3547.2033,1,가창2
7111055100,05209,행정2리앞,Haengjeong 2-ri,대구광역시,달성군,가창면,12838.667171,3547.168465,1,가창2
7111055200,01957,퇴계마을건너,Toegye Maeul,대구광역시,달성군,가창면,12839.069,3547.197,1,가창2
7111055300,01948,행정2리건너,Haengjeong 2-ri,대구광역시,달성군,가창면,12838.7703,3547.1821,1,가창2
7111055400,01987,다사역(3번출구),Dasa Station,대구광역시,달성군,다사읍,12827.547469,3551.832825,1,성서3
7111055500,01991,방천리환경자원사업소,Enviroment&Resources Office,대구광역시,달성군,다사읍,12830.128724,3647.113629,1,-
7111055600,01999,노이2리건너,Noi 2-ri,대구광역시,달성군,논공읍,12826.129456,3545.61869,1,달성2
7111055700,02426,용화사건너,Yonghwasa,대구광역시,달성군,논공읍,12825.922901,3639.655887,1,달성2
7111055800,02427,용화사앞,Yonghwasa,대구광역시,달성군,논공읍,12826.3017,3545.5908,1,달성2
7111055900,02240,노이2리앞,Noi 2-ri,대구광역시,달성군,논공읍,12826.1219,3545.6281,1,달성2
7111056000,02440,행정1리앞,Haengjeong 1-ri,대구광역시,달성군,가창면,12839.252375,3546.90523,1,가창2
7111056100,02442,행정1리건너,Haengjeong 1-ri,대구광역시,달성군,가창면,12839.018707,3640.974524,1,가창2
7111056300,02554,사창마을앞,Sachang Maeul,대구광역시,달성군,구지면,12826.7062,3538.8154,1,달성7
7111056400,02544,사창마을건너,Sachang Maeul,대구광역시,달성군,구지면,12826.7184,3538.8143,1,달성7
7111056500,02508,달성기와앞,Dalseong Giwa,대구광역시,달성군,논공읍,12828.1213,3544.1782,2,"600, 655"
7111056600,02511,달성기와건너,Dalseong Giwa,대구광역시,달성군,논공읍,12828.1112,3544.1789,2,"600, 655"
7111056700,02542,정대숲앞,Jeongdaesup,대구광역시,달성군,가창면,12833.4268,3545.0061,1,가창2
7111056800,02452,옥연지,Ogyeonji,대구광역시,달성군,옥포면,12829.265072,3546.510205,3,"600, 달성2, 달성5"
7111056900,09227,옥연지건너,Okyeonji,대구광역시,달성군,옥포면,12829.269842,3546.520927,3,"600, 달성2, 달성5"
7111057000,03095,근린공원축구장건너,Neighborhood Park Football Field,대구광역시,달성군,구지면,12825.12971,3538.383468,2,"600, 급행8"
7111057400,05277,현풍터미널앞,Hyeonpung Bus Terminal,대구광역시,달성군,현풍면,12826.4828,3541.9787,2,"600, 달성6"
7111057600,05086,달성화성파크드림앞,Dalseong Hwaseong Parkdream,대구광역시,달성군,구지면,12825.0381,3539.3004,3,"600, 급행8, 달성7"
7111057800,05087,근린공원축구장앞,Neighborhood Park Football Field,대구광역시,달성군,구지면,12825.0744,3538.4571,2,"600, 급행8"
7111058000,03094,한국클래드텍앞,Industry Korea Clad Tech,대구광역시,달성군,구지면,12825.1839,3538.1686,1,600
7111058100,05274,한국클래드텍건너,Industry Korea Clad Tech,대구광역시,달성군,구지면,12825.1921,3538.1739,1,600
7111058300,03092,(주)영화건너,Industry Young Hwa,대구광역시,달성군,구지면,12825.3982,3538.0203,1,600
7111058400,03089,신성중공업앞,New Star Heavy Industry,대구광역시,달성군,구지면,12825.6668,3538.0294,1,600
7111058600,03088,서영기공앞,Seo Young Machinery,대구광역시,달성군,구지면,12825.79,3538.2339,1,600
7111058700,05272,서영기공건너,Seo Young Machinery,대구광역시,달성군,구지면,12825.77982,3538.263529,1,600
7111058800,03086,현대메카닉스앞,Hyundai Mechanics,대구광역시,달성군,구지면,12825.5256,3538.3994,1,600
7111058900,03083,현대메카닉스건너,Hyundai Mechanics,대구광역시,달성군,구지면,12825.5503,3538.3847,1,600
7111059000,03081,달성2차산업단지출장소건너,Dalseong 2th Industrial Complex Branch Office,대구광역시,달성군,구지면,12825.3087,3538.3848,1,600
7111059100,05273,(주)영화앞,Industry Young Hwa,대구광역시,달성군,구지면,12825.391,3538.0277,1,600
7111059200,03090,신성중공업건너,New Star Heavy Industry,대구광역시,달성군,구지면,12825.6822,3538.0221,1,600
