지점명,지번주소,도로명주소,점포유형
노브랜드 서울서초점,서울 서초구 서초동 1316-28,서울 서초구 서초대로73길 7 (서초동) ,이마트
노브랜드 서초방배점,서울 서초구 방배동 907-4,"서울 서초구 방배로 110 (방배동, 하나은행) 1층 일부",이마트
노브랜드 송파문정점,서울 송파구 문정동 624,"서울 송파구 법원로 55 (문정동, 송파아이파크) 상가 1층",이마트
노브랜드 엔터식스한양대점,서울 성동구 행당동 155-1,"서울 성동구 왕십리로 241 (행당동, 서울숲 더샵) ",이마트
노브랜드 영등포양평점,서울 영등포구 양평동5가 27,서울 영등포구 양평로 135 (양평동5가) ,이마트
노브랜드 영등포여의도점,서울 영등포구 여의도동 17-3,"서울 영등포구 의사당대로 8 (여의도동, 삼환까뮤빌딩) 1층 일부",이마트
노브랜드 은평진관점,서울 은평구 진관동 74,"서울 은평구 진관2로 19 (진관동, 휴먼프라자 I) 108~114호",이마트
논현점,서울 강남구 논현동 164-7,서울 강남구 강남대로 512 ,이마트
마포점,서울특별시 마포구 신공덕동 173,서울특별시 마포구 백범로 212 ,이마트
명일점,서울특별시 강동구 명일동 46-4,서울 강동구 고덕로 276 ,이마트
목동점,서울특별시 양천구 목동 962,서울특별시 양천구 오목로 299 ,이마트
묵동점,서울특별시 중랑구 묵동 170-1,서울특별시 중랑구 동일로 932 ,이마트
미아점,서울특별시 성북구 길음동 25-2,서울특별시 성북구 도봉로 17 (길음동),이마트
상봉점,서울특별시 중랑구 망우동 506-1,서울 중랑구 상봉로 118 ,이마트
성수점,서울특별시 성동구 성수동2가 333-16,서울 성동구 뚝섬로 379 ,이마트
수색점,서울 은평구 수색동 75,"서울 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1)) ",이마트
수서점,서울특별시 강남구 수서동 724,서울특별시 강남구 광평로 280 ,이마트
신도림점,서울특별시 구로구 구로동 3-25,서울특별시 구로구 새말로 97 테크노마트 지하2층,이마트
신월점,서울특별시 양천구 신월동 26,서울특별시 양천구 화곡로 59 ,이마트
양재점,서울특별시 서초구 양재동 204,서울특별시 서초구 매헌로 16 ,이마트
여의도점,서울특별시 영등포구 여의도동 47,서울특별시 영등포구 여의동로3길 10 ,이마트
역삼점,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로 310 ,이마트
영등포점,서울특별시 영등포구 영등포동4가 442,서울특별시 영등포구 영중로 15 ,이마트
왕십리점,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,이마트
용산점,서울특별시 용산구  한강로3가 40-999,서울특별시 용산구  한강대로23길 55 ,이마트
월계점,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길 15 ,이마트
은평점,서울 은평구 응암동 90-1,서울 은평구 은평로 111 이마트 은평점,이마트
이문점,서울특별시 동대문구 이문동 292-10,서울특별시 동대문구 이문로 136 ,이마트
이수점,서울특별시 동작구 사당동 147-29 이수자이 B1,서울특별시 동작구 사당로 300 이수자이 B1,이마트
자양점,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 272 ,이마트
창동점,서울특별시 도봉구 창동 135-26,서울 도봉구 노해로 65길 4 ,이마트
천호점,서울특별시 강동구 천호동 454-1,서울 강동구 천호대로 1017 ,이마트
청계천점,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400 ,이마트
트레이더스 월계점,서울 노원구 월계동 333-1,"서울 노원구 마들로3길 17 (월계동, 월계트레이더스) 이마트 월계점 우측건물 1층",이마트
하월곡점,서울특별시 성북구 하월곡동 230,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",이마트
